count,variant,suggested_canonical
390,Internet,
347,World Wide Web,
252,Excel,
230,Access,
162,FoxPro,
130,CD-ROM,
107,9-track tape,
86,ArcView,
69,SPSS,
63,Paradox,
56,spreadsheets,
55,SQL,
55,spreadsheet,
49,FTP,
47,dBase,
45,database,
38,XDB,
38,GIS,
34,database managers,
33,mainframe,
33,SAS,
29,MapInfo,
23,databases,
22,modem/BBS,
22,Atlas GIS,
21,gopher,
18,SQL Server,
17,Database,
16,Lotus 1-2-3,
16,ASCII,
16,CompuServe,
16,Visual Basic,
16,Perl,
15,mapping,
14,HTML,
14,Visual FoxPro,
13,PC,
13,mapping software,
13,Quattro Pro,
13,Adobe Acrobat,
12,DOS,
12,Windows,
12,Email,
12,Nexis,
10,Macintosh,
10,Unix,
10,Netscape,
9,Monarch,
9,email,
9,Maptitude,
9,Web site,
9,MySQL,
8,WordPerfect,
8,Mosaic,
8,listserv,
8,Web,
7,NineTrack Express,
7,diskette,
7,ArcInfo,
7,NICAR,
7,Word,
7,FOIA,
7,Microsoft SQL Server,
7,PDF,
7,PHP,
6,Nine Track Express,
6,statistics,
6,Pentium,
6,e-mail,
6,Microsoft Word,
6,FARS,
6,Web server,
6,ODBC,
6,PACER,
6,Google,
6,GPS,
6,Linux,
5,Nine-Track Express,
5,Dialog,
5,diskettes,
5,OS/2,
5,E-mail,
5,Spreadsheets,
5,Windows 95,
5,Adobe Illustrator,
5,Lexis-Nexis,
5,FileMaker Pro,
5,TIGER,
5,Apache,
5,Spatial Analyst,
4,486,
4,IBM,
4,VAX,
4,IBM mainframe,
4,Oracle,
4,CSV,
4,Compuserve,
4,Gopher,gopher
4,Usenet,
4,telnet,
4,listserve,
4,askSam,
4,Lotus Notes,
4,Lexis/Nexis,
4,relational database,
4,Lotus Approach,
4,Internet Information Server,
4,Intranet,
4,Web sites,
4,MAUDE,
4,shapefiles,
4,ParseRat,
4,UltraEdit,
4,Python,
3,database software,
3,EBCDIC,
3,personal computer,
3,tape drive,
3,floppy disk,
3,scanner,
3,Census data,
3,PCs,
3,Mapping software,
3,FedWorld,
3,Listserv,
3,Xywrite,
3,America Online,
3,Microsoft,
3,Windows NT,
3,EDGAR,
3,Photoshop,
3,database manager,
3,Netscape Navigator,
3,IIS,
3,TCP/IP,
3,Internet Explorer,
3,ASP,
3,DBF,
3,Cold Fusion,
3,Claritas,
3,FAADS,
3,Federal Procurement Data System,
3,ArcView 3.2,
3,Mandrake,
3,ArcMap,
3,shapefile,
3,Microsoft Office,
3,XML,
3,XPDF,
3,Uniform Crime Report,
3,National Crime Victimization Survey,
3,Google Maps,
2,IBM-compatible PC,
2,magnetic tape,
2,computer,
2,tape,
2,Datatrieve,
2,XyWrite,
2,PC Tools,
2,PKUNZIP,
2,Toxic Release Inventory,
2,386,
2,computer tape,
2,minicomputer,
2,Qualstar 1260,
2,Vax,
2,DataTimes,
2,XYWrite III Plus,
2,Westlaw,
2,NEXIS,Nexis
2,NUDOCS,
2,XYWrite,
2,EX IQ,
2,XBase,
2,programming,
2,spreadsheet programs,
2,Bulletin boards,
2,ProfNet,
2,Telnet,
2,USENET,
2,3480/3490 cartridge tapes,
2,Power PC,
2,RAM,
2,SCSI,
2,Veronica,
2,HP9000,
2,Word for Windows,
2,CalComp DesignMate,
2,IBM 486,
2,T-1,
2,Windows 3.1,
2,tape drives,
